chrI	142254	142619	1	1	1	7	0	37
chrII	45645	45977	1	1	0	5	0	19
chrII	60194	60697	2	2	1	3	0	27
chrII	168425	168808	1	1	1	3	0	14
chrII	332876	333386	1	1	1	4	0	26
chrII	427794	429643	2	2	0	0	1	36
chrII	462210	462289	1	1	1	3	0	32
chrII	592417	592768	2	2	1	4	0	24
chrII	604515	604927	1	1	1	8	0	24
chrII	606281	606668	1	1	1	2	0	35
chrIII	107034	107110	1	1	1	1	0	26
chrIII	111558	111633	2	2	1	1	0	9
chrIII	177907	178213	2	2	1	4	0	31
chrIV	65307	65377	1	1	1	1	0	3
chrIV	117667	118157	1	1	1	1	0	22
chrIV	122078	122176	1	1	0	1	0	37
chrIV	217603	218007	1	1	1	3	0	19
chrIV	230020	230320	1	1	1	7	0	37
chrIV	307334	307765	2	2	1	5	0	35
chrIV	322283	322703	1	1	1	14	0	29
chrIV	337525	337634	1	1	1	1	0	33
chrIV	384425	384496	1	1	0	1	0	31
chrIV	491560	491898	1	1	1	3	0	36
chrIV	579479	580017	1	1	1	8	0	34
chrIV	601032	601073	2	2	0	1	1	32
chrIV	601032	601139	2	2	0	0	2	32
chrIV	652781	653523	1	1	0	1	0	25
chrIV	715248	715358	2	2	1	1	0	11
chrIV	1212878	1212978	1	1	1	1	0	17
chrIV	1236843	1237608	1	1	1	3	0	26
chrIV	1266770	1266861	2	2	1	2	0	30
chrIV	1355237	1355550	2	2	1	1	0	20
chrIV	1359970	1360404	1	1	1	7	0	32
chrIV	1401801	1402184	1	1	1	1	0	15
chrIV	1450458	1450846	2	2	1	5	0	19
chrIX	68716	69149	1	1	1	5	0	20
chrIX	99096	99385	2	2	1	5	0	38
chrIX	231958	232366	2	2	1	6	0	36
chrIX	256555	257026	2	2	1	8	0	35
chrIX	316772	317171	1	1	1	2	0	19
chrV	166772	166874	2	2	1	1	0	35
chrV	269752	270148	2	2	1	5	0	32
chrV	306326	306791	1	1	1	7	0	28
chrV	307747	307848	1	1	1	1	0	18
chrV	362733	363092	1	1	0	2	0	21
chrV	396811	397281	1	1	1	6	0	37
chrV	423591	423951	1	1	0	3	0	33
chrV	432672	433196	1	1	1	1	0	19
chrVI	54378	54686	2	2	1	4	0	31
chrVI	63860	63973	2	2	1	1	0	29
chrVI	221268	221414	2	2	1	4	0	30
chrVI	223441	223771	2	2	0	3	0	23
chrVII	150184	150525	2	2	0	2	0	32
chrVII	311016	311526	1	1	1	16	0	38
chrVII	364965	365432	2	2	1	8	0	36
chrVII	365527	365985	2	2	1	6	0	28
chrVII	437942	438397	2	2	0	1	0	17
chrVII	439094	439323	1	1	1	11	0	32
chrVII	534474	534785	2	2	0	2	0	30
chrVII	535209	535545	1	1	0	1	0	25
chrVII	555831	556307	1	1	1	6	0	35
chrVII	727039	727357	1	1	1	5	0	26
chrVII	787787	788178	2	2	0	2	0	32
chrVII	859261	859473	2	2	1	3	0	32
chrVII	920665	921119	1	1	1	6	0	37
chrVIII	104406	104803	1	1	1	1	0	15
chrVIII	107832	107894	1	1	1	3	0	28
chrVIII	126552	127112	1	1	1	3	0	28
chrVIII	148117	148666	2	2	1	3	0	33
chrVIII	187515	187676	2	2	1	1	0	19
chrVIII	382307	382747	2	2	1	4	0	24
chrVIII	505248	505516	2	2	1	3	1	35
chrVIII	526525	527199	2	2	0	0	1	13
chrVIII	526660	527199	2	2	0	0	1	13
chrVIII	526795	527199	2	2	0	0	1	13
chrX	75939	76324	1	1	1	9	0	21
chrX	91095	91411	1	1	1	4	0	32
chrX	156790	157249	2	2	1	5	0	36
chrX	608307	608581	1	1	1	2	0	7
chrX	702799	703054	2	2	1	7	1	34
chrXI	109578	109883	1	1	1	6	0	27
chrXI	158616	158966	1	1	1	3	0	10
chrXI	283096	283421	1	1	1	1	0	11
chrXI	432035	432432	1	1	1	8	0	35
chrXI	519790	526097	2	2	0	0	1	13
chrXI	551681	552002	1	1	1	6	0	36
chrXI	618375	618742	2	2	1	4	0	18
chrXI	625902	625976	1	1	1	1	0	25
chrXII	40222	40400	2	2	1	3	0	34
chrXII	64193	64420	2	2	0	1	0	37
chrXII	242322	242680	1	1	1	7	0	37
chrXII	263206	263594	1	1	1	2	0	22
chrXII	518807	556356	1	1	0	0	1	15
chrXII	522670	523028	1	1	1	2	0	13
chrXII	712726	713155	2	2	1	4	0	18
chrXII	795913	796335	2	2	0	3	0	22
chrXII	855878	856434	1	1	0	1	0	14
chrXII	856575	857057	1	1	1	2	0	34
chrXII	898158	898645	1	1	0	5	0	18
chrXII	931350	931698	2	2	1	4	0	30
chrXII	1028869	1029252	1	1	1	1	0	34
chrXIII	99260	99375	2	2	1	1	0	27
chrXIII	123743	124157	2	2	1	2	0	16
chrXIII	140091	140183	2	2	1	1	0	23
chrXIII	223381	223781	2	2	1	7	0	32
chrXIII	225240	225338	2	2	1	1	0	33
chrXIII	225892	226289	1	1	1	6	0	30
chrXIII	424998	425153	1	1	1	1	0	20
chrXIII	499879	500151	2	2	1	4	0	36
chrXIII	550802	551203	2	2	1	6	0	15
chrXIII	551952	552495	1	1	1	2	0	26
chrXIII	651161	651623	1	1	1	5	0	32
chrXIII	732466	732875	1	1	1	2	0	21
chrXIII	753743	754219	2	2	1	3	0	32
chrXIV	48294	48401	1	1	1	1	0	24
chrXIV	62373	62923	2	2	1	2	0	37
chrXIV	64019	64450	2	2	1	1	0	23
chrXIV	185492	185586	1	1	1	1	0	20
chrXIV	331326	331837	1	1	1	3	0	22
chrXIV	414912	415913	1	1	1	2	0	37
chrXIV	443827	444171	2	2	1	4	0	30
chrXIV	557611	557684	1	1	1	1	0	14
chrXV	80361	80774	1	1	1	9	0	25
chrXV	92441	92830	2	2	1	1	0	13
chrXV	93844	94290	2	2	1	9	0	33
chrXV	505938	506338	1	1	1	6	0	36
chrXV	552666	552874	2	2	1	1	0	28
chrXV	678380	678790	2	2	1	1	0	14
chrXV	867150	867586	1	1	1	11	0	38
chrXV	900768	901193	2	2	1	4	0	11
chrXVI	75986	76223	2	2	1	9	0	28
chrXVI	138726	138864	1	1	1	2	0	35
chrXVI	173163	173571	1	1	1	3	0	36
chrXVI	173666	174072	1	1	1	1	0	12
chrXVI	282141	282665	1	1	1	18	0	37
chrXVI	305307	305411	1	1	1	1	0	34
chrXVI	377996	378389	2	2	1	5	0	26
chrXVI	406647	407067	1	1	1	4	0	23
chrXVI	582559	582701	2	2	1	1	0	5
chrXVI	623578	623710	1	1	1	3	0	36
chrXVI	654168	654570	1	1	1	3	0	19
chrXVI	678194	678279	2	2	1	1	0	16
chrXVI	795030	795394	1	1	1	8	0	38
chrXVI	883388	883486	1	1	1	1	0	8
chrXVI	911277	911352	1	1	1	2	0	5
